GID,semester,ACTHIGHEST,SATHIGHEST,ACTcalc,HS_GPA,first_generation,gender,race,PELL_ELIGIBLE,CUM_GPA,CAREER_LEVEL,class,Term,Instructor,PIDM
ECD0037,Fa20,28,,28,4.24,N,F,Caucasian / White,Pell ineligible filer,3.67,U,FR,202010,Curtiss,3994018
MGB0048,Su20,,1430,32,4.8,N,F,Hispanic,,,U,SO,202130,Curtiss,3995002
HZP0041,Su20,26,,26,3.76,N,M,Asian,,,U,FR,202130,Curtiss,3995159
ADS0074,Fa20,31,,31,4.45,N,F,Caucasian / White,Pell ineligible filer,3.6,U,FR,202010,Curtiss,3995485
ALH0137,Fa20,32,,32,4.33,,F,Caucasian / White,,,U,JR,202010,Curtiss,3997127
TAJ0026,Fa20,30,,30,4.24,N,M,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,3997970
MRM0120,Su20,30,,30,3.95,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3998482
KFR0006,Su20,27,,27,4.71,N,F,Caucasian / White,,,U,FR,202130,Curtiss,4000314
JSC0063,Fa20,32,,32,4.3,N,F,Caucasian / White,Pell ineligible filer,3.33,U,FR,202010,Curtiss,4000624
KHC0026,Fa20,29,,29,4.58,Y,F,Caucasian / White,Non-filer,3.5,U,FR,202010,Curtiss,4006133
MHC0035,Fa20,31,,31,4.6,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4006136
AEG0055,Fa20,31,,31,4.6,N,F,Caucasian / White,Pell ineligible filer,3.81,U,FR,202010,Curtiss,4006215
SLO0015,Fa20,,1150,23,4.11,,F,Caucasian / White,Non-filer,3.46,U,FR,202010,Curtiss,4007187
BVB0006,Fa20,30,,30,4.17,N,F,Caucasian / White,Non-filer,3.21,U,FR,202010,Curtiss,4009675
CNF0022,Fa20,23,,23,4.29,N,F,Caucasian / White,Pell ineligible filer,2.45,U,FR,202010,Curtiss,4009775
BMM0063,Fa20,31,,31,4.09,N,F,Caucasian / White,Pell ineligible filer,3.25,U,FR,202010,Curtiss,4009922
AJW0093,Fa20,22,,22,4.12,N,F,Caucasian / White,Pell ineligible filer,3.33,U,FR,202010,Curtiss,4010083
WSP0015,Fa20,33,,33,3.8,N,M,Caucasian / White,Pell eliglble filer,2.8,U,FR,202010,Curtiss,4010142
RNS0019,Fa20,34,,34,4.56,N,F,Caucasian / White,Pell ineligible filer,4,U,JR,202010,Curtiss,4011034
EZH0040,Fa20,30,,30,4.18,N,F,Caucasian / White,Pell ineligible filer,3.75,U,FR,202010,Curtiss,4013887
